type,statement,prompt,template
verifiable-true,Trees are a renewable natural resource that can be replenished over a period of time.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Trees are a renewable natural resource that can be replenished over a period of time.""",Trees are a renewable natural resource that can be replenished over a period of time.
verifiable-true,"To determine how closely related organisms are, scientists consider embryonic structures.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""To determine how closely related organisms are, scientists consider embryonic structures.""","To determine how closely related organisms are, scientists consider embryonic structures."
verifiable-true,Flexibility allows an object to bend.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Flexibility allows an object to bend.""",Flexibility allows an object to bend.
verifiable-true,The moon rises once per day.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The moon rises once per day.""",The moon rises once per day.
verifiable-true,"When cold temperatures are produced in a chemical reaction, the reaction is known as endothermic.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When cold temperatures are produced in a chemical reaction, the reaction is known as endothermic.""","When cold temperatures are produced in a chemical reaction, the reaction is known as endothermic."
verifiable-true,Sunglasses help protect the eyes by reflecting light rays away from the eyes.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Sunglasses help protect the eyes by reflecting light rays away from the eyes.""",Sunglasses help protect the eyes by reflecting light rays away from the eyes.
verifiable-true,Geologists normally use rock origin to differentiate between gabbro and basalt rocks.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Geologists normally use rock origin to differentiate between gabbro and basalt rocks.""",Geologists normally use rock origin to differentiate between gabbro and basalt rocks.
verifiable-true,Swimming fast is an adaptive characteristic that helps dolphins survive life in the ocean.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Swimming fast is an adaptive characteristic that helps dolphins survive life in the ocean.""",Swimming fast is an adaptive characteristic that helps dolphins survive life in the ocean.
verifiable-true,The moon and earth have a similar rocky terrain.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The moon and earth have a similar rocky terrain.""",The moon and earth have a similar rocky terrain.
verifiable-true,Ribosomes use rna to manufacture proteins.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Ribosomes use rna to manufacture proteins.""",Ribosomes use rna to manufacture proteins.
verifiable-true,A lunar eclipse occurs when earth is between the moon and the sun.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""A lunar eclipse occurs when earth is between the moon and the sun.""",A lunar eclipse occurs when earth is between the moon and the sun.
verifiable-true,The brain consists mostly of nerve tissue.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The brain consists mostly of nerve tissue.""",The brain consists mostly of nerve tissue.
verifiable-true,"In a plant cell, chloroplasts absorb light energy and manufacture food.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""In a plant cell, chloroplasts absorb light energy and manufacture food.""","In a plant cell, chloroplasts absorb light energy and manufacture food."
verifiable-true,K -> k^+ reflects the loss of an electron.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""K -> k^+ reflects the loss of an electron.""",K -> k^+ reflects the loss of an electron.
verifiable-true,The best container for storing an unknown liquid is a clearly labeled glass jar.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The best container for storing an unknown liquid is a clearly labeled glass jar.""",The best container for storing an unknown liquid is a clearly labeled glass jar.
verifiable-true,A skin cell from a mouse and an amoeba both need energy.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""A skin cell from a mouse and an amoeba both need energy.""",A skin cell from a mouse and an amoeba both need energy.
verifiable-true,"In an oceanic trench ecosystem, producers must capture energy from gases such as methane and hydrogen sulfide.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""In an oceanic trench ecosystem, producers must capture energy from gases such as methane and hydrogen sulfide.""","In an oceanic trench ecosystem, producers must capture energy from gases such as methane and hydrogen sulfide."
verifiable-true,An airplane traveling at a constant speed of 800 kilometers per hour (km/h) will travel 200 kilometers in 15 minutes.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""An airplane traveling at a constant speed of 800 kilometers per hour (km/h) will travel 200 kilometers in 15 minutes.""",An airplane traveling at a constant speed of 800 kilometers per hour (km/h) will travel 200 kilometers in 15 minutes.
verifiable-true,"When a dog sees a cat, a message travels from the dog's eyes to the dog's brain.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When a dog sees a cat, a message travels from the dog's eyes to the dog's brain.""","When a dog sees a cat, a message travels from the dog's eyes to the dog's brain."
verifiable-true,Surface mining might create recreational ponds and lakes.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Surface mining might create recreational ponds and lakes.""",Surface mining might create recreational ponds and lakes.
verifiable-true,The planet in the solar system farthest from the sun has the longest year.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The planet in the solar system farthest from the sun has the longest year.""",The planet in the solar system farthest from the sun has the longest year.
verifiable-true,Skin cells must get nutrients from a transport system.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Skin cells must get nutrients from a transport system.""",Skin cells must get nutrients from a transport system.
verifiable-true,The presence of van allen belts on another planet would provide some evidence that the planet has an iron core.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The presence of van allen belts on another planet would provide some evidence that the planet has an iron core.""",The presence of van allen belts on another planet would provide some evidence that the planet has an iron core.
