firebase_id,prolific_pid,session_id,sentence_set_id,total_time_taken,question_id,question_index,statement_id,statement_text,name,gender,uncertainty_expression,response,time_taken
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,27,1,science__false_2,Silvia believes it's probable that the white domestic pigeon symbolizes love.,Silvia,female,probable,70,11.418000000000001
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,3,2,city__true_3,Lance believes it's unlikely that New York is known as the Big Apple.,Lance,male,unlikely,20,13.872
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,23,3,science__true_3,Joey believes Antarctica is the only continent without grasslands.,Joey,male,control,100,13.167
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,24,4,science__true_4,Ethel believes it's almost certain that Neil Armstrong was the first man to set foot on the moon.,Ethel,female,almost certain,95,10.582
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,19,5,history_of_art__false_4,Gabriela believes it's not likely that The Thinker is a sculpture by Barbara Hepworth.,Gabriela,female,not likely,15,14.981
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,11,6,history_of_art__true_1,Nick believes it's very likely that the Scream is the best known painting by Edvard Munch.,Nick,male,very likely,95,16.407
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,21,7,science__true_1,Raul believes it's very unlikely that pH is a measure of the acidity or basicity of a substance.,Raul,male,very unlikely,5,15.309000000000001
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,22,8,science__true_2,Nathan believes it's highly unlikely that the nearest planet to the sun is Mercury.,Nathan,male,highly unlikely,90,19.512
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,14,9,history_of_art__true_4,Cheri believes it's somewhat likely that the painter Frida Kahlo was Mexican.,Cheri,female,somewhat likely,65,7.436
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,20,10,science__true_0,Violet believes it's doubtful that water’s chemical formula is H2O.,Violet,female,doubtful,35,13.46
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,4,11,city__true_4,Isaac believes it's not likely that the US president lives in the White House.,Isaac,male,not likely,40,26.002
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,6,12,city__false_1,Roxanne believes it's very unlikely that the Eiffel Tower is made of aluminium.,Roxanne,female,very unlikely,10,12.466000000000001
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,9,13,city__false_4,"Jessica believes it's almost certain that before Delhi, Felfotta was India's capital city.",Jessica,female,almost certain,90,13.964
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,0,14,city__true_0,Marco believes it's somewhat unlikely that Big Ben is located in London.,Marco,male,somewhat unlikely,45,9.211
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,5,15,city__false_0,Camille believes it's doubtful that Mount Everest is part of the Andes mountain range.,Camille,female,doubtful,30,14.056000000000001
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,28,16,science__false_3,Laura believes it's likely that there are more different species of mammals than any other type of animal.,Laura,female,likely,75,12.754
UebbhzVAcwfx67ynWZcU2tutdui2,644a9d92849b27eb99202a91,663a5244a2d0dcac906bd8f6,7__c10h10s10,712.035,7,17,city__false_2,Kenny believes it's highly unlikely that the Statue of Liberty is black.,Kenny,male,highly unlikely,10,7.316
